dataset,bit,mode,acc,params,returncode
CINIC10,1,adapter_rc,64.8,1605223,0
CINIC10,2,adapter_rc,73.09,1605231,0
CINIC10,4,adapter_rc,74.9,1605231,0
CINIC10,8,adapter_rc,75.42,1605231,0
FashionMNIST,1,adapter_rc,80.42,1605223,0
FashionMNIST,2,adapter_rc,83.18,1605231,0
FashionMNIST,4,adapter_rc,85.48,1605231,0
FashionMNIST,8,adapter_rc,85.76,1605231,0
STL10,1,adapter_rc,67.46,1605223,0
STL10,2,adapter_rc,73.54,1605231,0
STL10,4,adapter_rc,74.42,1605231,0
STL10,8,adapter_rc,75.36,1605231,0
SVHN,4,adapter_rc,79.96,1605231,0
SVHN,8,adapter_rc,80.48,1605231,0
